XDU11SMW,Cobb,non.enim.commodo@arcuSedeu.com,Miss Julie,New Amsterdam Theatre,2008-05-01,2,74.40
XDU11SMW,Cobb,non.enim.commodo@arcuSedeu.com,The Jesus and Mary Chain,Scotiabank Place,2008-04-18,2,120.60
KFG75SLW,Buchanan,semper.rutrum@faucibusMorbi.edu,Rock the Bells,Bank of America Stadium,2008-04-18,2,28.50
EDU08KKL,Kirkland,Maecenas.libero.est@consectetueradipiscingelit.com,Bad Company,Ford Center,2008-08-23,1,67.35
EDU08KKL,Kirkland,Maecenas.libero.est@consectetueradipiscingelit.com,Cirque du Soleil,Curran Theatre,2008-10-03,1,63.15
CEB62LMN,Gilliam,pede.blandit@tinciduntnibhPhasellus.ca,West Side Story,Winter Garden Theatre,2008-04-09,1,168.60
CEB62LMN,Gilliam,pede.blandit@tinciduntnibhPhasellus.ca,Spamalot,Richard Rodgers Theatre,2008-12-04,3,54.00
SBO06LZM,Tillman,Phasellus@luctus.edu,Waiting for Godot,Royce Hall,2008-12-30,1,60.30
SBO06LZM,Tillman,Phasellus@luctus.edu,Shrek the Musical,Minskoff Theatre,2008-05-01,2,133.50
LGM98VWE,Levy,eros.turpis.non@scelerisqueneque.ca,Glengarry Glen Ross,Eugene O'Neill Theatre,2008-07-23,1,23.85
LGM98VWE,Levy,eros.turpis.non@scelerisqueneque.ca,Brooks and Dunn,Miller Park,2008-05-01,1,20.10
LGM98VWE,Levy,eros.turpis.non@scelerisqueneque.ca,Bo Bice,The Palace of Auburn Hills,2008-10-12,1,42.90
LGM98VWE,Levy,eros.turpis.non@scelerisqueneque.ca,Herbie Hancock,INVESCO Field,2008-10-18,2,23.10
LGM98VWE,Levy,eros.turpis.non@scelerisqueneque.ca,Romeo and Juliet,Geffen Playhouse,2008-06-28,2,102.00
LGM98VWE,Levy,eros.turpis.non@scelerisqueneque.ca,Endgame,Carnegie Hall,2008-02-24,2,64.20
OSC42LKH,Grimes,tempor.augue@eusem.edu,The Phantom of the Opera,Carnegie Hall,2008-06-25,2,138.00
OSC42LKH,Grimes,tempor.augue@eusem.edu,Donny Osmond,Yankee Stadium,2008-03-08,2,40.20
TOU20NYS,Mccarty,In@pedeCrasvulputate.org,Tom Jones,LP Field,2008-03-08,1,3.75
NOI47QVP,Reilly,orci.in.consequat@sitamet.edu,Motorhead,Citizens Bank Park,2008-01-27,2,77.40
NWD75NVI,Salazar,nec.urna@fringilla.ca,The Caucasian Chalk Circle,New Amsterdam Theatre,2008-01-08,1,70.65
VAN52RJJ,Moss,amet@anteipsumprimis.edu,November,Marquis Theatre,2008-01-24,3,153.00
YTW34TCV,Gill,Donec@laciniaorciconsectetuer.edu,As You Like It,Eugene O'Neill Theatre,2008-11-11,4,159.00
RZH69LYW,Rasmussen,eu.metus.In@a.edu,Woyzeck,Bernard B. Jacobs Theatre,2008-03-28,2,17.70
RZH69LYW,Rasmussen,eu.metus.In@a.edu,As You Like It,Majestic Theatre,2008-09-14,2,135.00
RZH69LYW,Rasmussen,eu.metus.In@a.edu,Scorpions,Dodger Stadium,2008-10-20,2,84.90
WJS64VWR,Kaufman,nec.euismod@ipsumleo.com,Wolf Parade,FedExForum,2008-10-12,1,25.20
KCK67BLW,Tyson,amet@aclibero.com,Look Back in Anger,Al Hirschfeld Theatre,2008-08-07,2,147.90
KCK67BLW,Tyson,amet@aclibero.com,Aretha Franklin,Pepsi Center,2008-02-19,2,35.10
DRZ46IFJ,Marshall,luctus.sit@convallisest.edu,N.E.R.D.,Honda Center,2008-05-01,4,31.20
KYB62ZCG,George,hymenaeos.Mauris@nonummyut.org,Grease,Richard Rodgers Theatre,2008-08-23,1,60.00
NYW84SZE,Parker,accumsan.neque.et@tellus.org,Gladys Knight,Turner Field,2008-02-17,2,30.60
BSS02RSI,Wade,Donec.tempor@Fuscemi.edu,Armando Manzanero,Staples Center,2008-02-22,2,320.10
IWO19MQB,Farmer,vel.mauris.Integer@imperdiet.ca,Gretchen Wilson,Lambeau Field,2008-06-27,4,108.00
IWO19MQB,Farmer,vel.mauris.Integer@imperdiet.ca,The Glass Menagerie,Eugene O'Neill Theatre,2008-09-22,1,5.55
JRM31PBI,Mckee,egestas.hendrerit.neque@Nulla.edu,Chicago,Gerald Schoenfeld Theatre,2008-02-04,4,25.80
JRM31PBI,Mckee,egestas.hendrerit.neque@Nulla.edu,Blue Man Group,Tropicana Hotel,2008-03-01,1,19.05
MLQ23YLV,Snyder,Ut@pharetra.ca,Dropkick Murphys,Robertson Stadium,2008-06-30,2,101.10
MLQ23YLV,Snyder,Ut@pharetra.ca,Cake,Sommet Center,2008-06-13,1,21.75
WZO56AGQ,Benjamin,dictum.eu.placerat@utnisia.edu,Chicago,Gerald Schoenfeld Theatre,2008-02-04,2,147.90
WZO56AGQ,Benjamin,dictum.eu.placerat@utnisia.edu,Maze,Soldier Field,2008-07-30,2,91.50
XZX84MLI,Mccoy,amet@auctorquistristique.org,Melissa Etheridge,St. Pete Times Forum,2008-04-12,4,174.60
PNK42ZSW,Meyers,nunc.sed.pede@auctor.com,Children of Bodom,Dick's Sporting Goods Park,2008-05-01,4,56.40
XSB77CQR,Atkinson,ultrices.posuere.cubilia@aclibero.org,Sevendust,AT&T Center,2008-06-22,3,112.95
SGO09LNQ,Knowles,odio.Nam@turpis.edu,Danny Nova,US Airways Center,2008-09-17,1,280.80
PTB36ZDA,Donovan,amet.dapibus.id@dignissimmagnaa.org,The Country Girl,Gerald Schoenfeld Theatre,2008-11-23,2,104.40
PTB36ZDA,Donovan,amet.dapibus.id@dignissimmagnaa.org,Folies Bergere,Caesars Palace,2008-02-28,2,72.00
PTB36ZDA,Donovan,amet.dapibus.id@dignissimmagnaa.org,A Midsummer Night's Dream,Biltmore Theatre,2008-12-28,2,140.40
ZLM91LEN,Franks,mauris.sagittis@porttitorscelerisque.com,Seal,The Palace of Auburn Hills,2008-03-18,3,132.30
ZLM91LEN,Franks,mauris.sagittis@porttitorscelerisque.com,Wicked,The Broadway Theatre,2008-05-01,1,6.15
ZLM91LEN,Franks,mauris.sagittis@porttitorscelerisque.com,John Mellencamp,Philips Arena,2008-02-05,3,45.90
GUW16KNI,Casey,feugiat.metus.sit@convallis.ca,Young Frankenstein,Royce Hall,2008-04-10,4,277.20
UDR65LZP,Hobbs,nisl.arcu@metusAliquam.org,Siegfried,Lyric Opera House,2008-02-18,2,128.10
UDR65LZP,Hobbs,nisl.arcu@metusAliquam.org,Susan Tedeschi,Busch Stadium,2008-12-23,2,103.80
DHM44JLK,Warren,sollicitudin.commodo@atvelit.org,El Tri,Rexall Place,2008-05-01,4,61.20
FKI64VWB,Santos,ipsum.Suspendisse@ipsum.edu,Nofx,Bell Centre,2008-06-17,2,33.60
FKI64VWB,Santos,ipsum.Suspendisse@ipsum.edu,Kiss Me Kate,Belasco Theatre,2008-12-12,4,223.20
